food_name,calories,protein_g,fat_g,carbs_g,fibre_g
"Cornmeal (polenta), boiled, no added fat or salt",108.03059273422562,2.7,0.5,22.3,1.0
"Couscous, uncooked",364.00573613766727,13.8,0.2,73.6,4.2
"Couscous, boiled, no added fat or salt",161.80688336520075,6.1,0.1,32.7,1.9
"Millet, uncooked",354.4455066921606,10.2,3.5,67.4,3.7
"Millet, boiled, no added fat or salt",116.39579349904398,3.3,1.1,22.1,1.2
"Maize, grits, uncooked",349.1873804971319,8.1,1.3,73.3,2.7
"Oat bran, unprocessed, uncooked",364.4837476099426,16.7,9.3,45.0,16.7
"Oats, hulled, uncooked",379.7801147227533,12.5,9.8,55.5,8.6
"Oats, rolled, uncooked",373.8049713193116,12.2,9.5,54.5,9.5
"Oats, rolled, mixed with sugar or honey & other flavours, uncooked",389.34034416826,8.3,7.5,69.1,7.5
"Psyllium, uncooked",197.41873804971317,3.0,1.3,1.0,88.7
"Quinoa, black, uncooked",347.7533460803059,13.1,6.6,50.6,16.1
"Quinoa, red, uncooked",367.5908221797323,14.1,6.9,55.0,13.8
"Quinoa, white, uncooked",375.717017208413,12.2,6.3,61.8,10.5
"Quinoa, uncooked",370.4588910133843,12.9,6.5,58.6,12.0
"Quinoa, cooked in water, no added salt",103.25047801147227,3.6,1.8,16.3,3.4
"Rye, grain, whole, uncooked",309.75143403441683,11.1,2.6,51.3,17.3
"Rye, rolled, uncooked",305.4493307839388,10.4,2.6,50.8,17.3
"Sorghum, grain, uncooked",350.1434034416826,8.2,3.6,65.8,8.6
"Teff, uncooked",246.1759082217973,13.3,2.4,38.4,8.0
"Triticale, grain, uncooked",325.28680688336516,9.6,2.4,58.3,14.4
"Semolina, uncooked",310.2294455066921,10.7,1.2,61.6,3.2
"Semolina, boiled, no added fat or salt",98.70936902485658,3.4,0.4,19.6,1.0
"Spelt, uncooked",331.7399617590822,11.7,3.0,59.2,8.8
"Spelt, boiled, no added fat or salt",137.66730401529637,4.8,1.2,24.5,3.6
"Tapioca, pearl or seed style, uncooked",324.8087954110899,0.2,0.2,79.3,0.0
"Tapioca, pearl or seed style, boiled, no added fat or salt",47.08413001912046,0.0,0.0,11.5,0.0
"Wheat bran, unprocessed, uncooked",267.4474187380497,14.8,4.1,22.6,41.8
"Wheat, whole, uncooked",325.52581261950286,11.2,2.4,58.3,11.4
Wheat germ,307.1223709369025,20.6,6.1,32.7,20.1
"Rice, white, uncooked",339.86615678776286,7.0,0.9,74.0,0.8
"Rice, white, boiled or rice cooker, no added salt",157.50478011472273,3.1,0.2,34.7,0.8
"Rice, white, purchased as 'instant', microwaved",153.68068833652006,3.4,0.6,32.5,1.0
"Rice, brown, uncooked",347.0363288718929,7.6,3.1,69.1,3.5
