food_name,calories,protein_g,fat_g,carbs_g,fibre_g
potato chips reduced fat,801.0,12.1,35.4,113.7,10.0
onion snacks,150.0,2.3,6.8,19.5,1.2
potato chips cheese,843.0,14.5,46.2,98.1,8.8
yuca cassava chips,9.0,0.054,0.4,1.2,0.002
tortilla chips low fat,117.0,3.1,1.6,22.6,1.5
ranch flavor tortilla chips,992.0,14.2,48.8,124.2,7.9
potato chips,161.0,2.1,10.4,15.9,1.4
tortilla chips,142.0,2.1,6.2,20.3,1.6
sweet potato chips,149.0,0.8,9.1,15.9,2.5
nacho cheese tortilla chips,156.0,2.2,8.2,18.2,1.5
vegetable chips,134.0,1.5,6.6,17.1,1.3
taco flavor tortilla chips,1090.0,17.9,54.9,143.2,12.0
potato chips barbecue,970.0,15.2,64.2,104.5,8.7
pita chips,137.0,3.5,4.6,20.5,1.1
potato chips sour cream and onion,1051.0,16.0,67.1,102.0,10.3
adobo fresco,780.0,5.8,60.2,53.6,3.7
chili pepper sauce red,3.0,0.1,0.089,0.6,0.1
creamy ranch sauce mcdonalds,132.0,0.3,14.7,1.0,0.0
catsup,19.0,0.2,0.066,4.5,0.053
chili pepper sauce green,3.0,0.1,0.032,0.8,0.3
red wine vinegar,3.0,0.055,0.0,0.011,0.0
fish sauce,6.0,0.9,0.013,0.7,0.0
coleslaw dressing reduced fat,56.0,0.0,3.4,6.8,0.045
sour dressing,21.0,0.4,2.0,0.6,0.0
guava sauce cooked,86.0,0.8,0.3,22.6,8.6
pizza sauce,136.0,5.5,2.9,21.8,5.0
sweetn sour sauce mcdonalds,48.0,0.2,0.3,11.0,0.0
nance syrup,4.0,0.028,0.002,0.8,0.3
french dressing reduced fat,37.0,0.072,2.2,4.7,0.2
peppercorn dressing,76.0,0.2,8.2,0.5,0.0
sorghum syrup,61.0,0.0,0.0,15.7,0.0
ranch dressing fat free,17.0,0.039,0.3,3.7,0.088
caesar dressing low calorie,17.0,0.028,0.7,2.8,0.053
sweet sour dressing,2.0,0.082,0.0,0.6,0.0
mayonnaise imitation fat free,13.0,0.043,0.4,2.5,0.3
sofrito,488.0,26.4,37.5,11.2,3.5
turkey gravy instant,27.0,0.8,1.0,3.9,0.3
teriyaki sauce,16.0,1.1,0.015,2.8,0.016
tomato sauce,59.0,2.9,0.7,13.0,3.7
barbecue sauce kraft,28.0,0.1,0.053,6.5,0.032
cranberry sauce sweetened,418.0,0.6,0.4,107.8,2.8
coleslaw dressing,62.0,0.1,5.3,3.8,0.024
onion gravy dry,77.0,2.2,0.7,16.2,1.4
corn syrup light,62.0,0.0,0.09,16.9,0.0
bacon tomato dressing,49.0,0.3,5.3,0.3,0.04
